Open,Close,High,Low,Volume,Date
3116.05,3138.88,3141.65,3114.625,,02/11/19
3138.88,3126.25,3139.575,3126.25,,02/12/19
3126.25,3141,3141,3126.25,,02/13/19
3141,3151.1,3161.82,3141,,02/14/19
3151.1,3134,3151.1,3134,,02/15/19
3137.995,3137.995,3137.995,3137.995,,02/16/19
3137.995,3137.995,3137.995,3137.995,,02/17/19
3134,3134,3134,3126.4,,02/18/19
3134,3115.75,3134,3115.75,,02/19/19
3115.75,3110.9,3115.75,3108.355,,02/20/19
3110.9,3123.9,3125.03,3110.9,,02/21/19
3123.9,3108.5,3123.9,3106.24,,02/22/19
3109.135,3109.135,3109.135,3109.135,,02/23/19
3109.135,3109.095,3109.135,3109.095,,02/24/19
3108.5,3105,3108.75,3094.01,,02/25/19
3105,3083,3110.56,3083,,02/26/19
3083,3070.5,3083,3068.24,,02/27/19
3070.5,3081.5,3081.835,3070.5,,02/28/19
3081.5,3096.15,3096.63,3081.5,,03/01/19
3096.195,3096.195,3096.195,3096.195,,03/02/19
3096.195,3096.195,3096.195,3096.195,,03/03/19
3096.15,3095.45,3096.15,3091.66,,03/04/19
3095.45,3099.85,3100.66,3094.42,,03/05/19
3099.85,3105.95,3107.12,3099.85,,03/06/19
3105.95,3143,3143.06,3105.945,,03/07/19
3143,3173.8,3174.18,3143,,03/08/19
3173.365,3173.365,3173.365,3173.365,,03/09/19
3173.365,3154.815,3173.365,3154.815,,03/10/19
3173.8,3178.7,3179.68,3159.34,,03/11/19
3178.7,3148.5,3178.7,3147.395,,03/12/19
3148.5,3145.55,3152.49,3138.415,,03/13/19
3145.55,3142,3148.825,3137.29,,03/14/19
3142,3121.5,3142,3114.975,,03/15/19
3121.495,3121.495,3121.495,3121.495,,03/16/19
3121.495,3121.495,3121.495,3121.495,,03/17/19
3121.5,3100,3121.5,3096.68,,03/18/19
3100,3097.8,3100,3092.45,,03/19/19
3097.8,3088,3097.83,3086.32,,03/20/19
3088,3089,3089.685,3073.83,,03/21/19
3089,3131.8,3140.62,3089,,03/22/19
3131.795,3131.795,3131.795,3131.795,,03/23/19
3131.795,3082.995,3131.795,3082.995,,03/24/19
